Process ID=1508,Messaging Broker Name=AISEmbeddedBroker,Broker Memory Limit=52428800,Broker Store Limit=1073741824
Time,CPU Usage,Threads,Handles,Private Bytes,Virtual Bytes,Available Bytes,Broker Memory Usage,Broker Store Usage,Total Messages Enqueued,Total Messages Dequeued,Number of Pending Messages,Number of Queues,Number of Topics,Total CPU Usage, Process - IO Read Operations/sec, Process - IO Write Operations/sec, System - File Read Operations/sec, System - File Write Operations/sec
2017-Feb-06 17:56:02.268,12.852,59,1208,747290624,7796293632,29342277632,0,1,0,0,0,0,0,147.617,249,5,1069,15
2017-Feb-06 17:56:13.661,30.947,61,1220,749187072,7802585088,29205532672,0,1,0,0,0,0,0,147.360,851,6,977,16
2017-Feb-06 17:56:25.053,35.055,61,1224,751800320,7807893504,29045157888,0,1,0,0,0,0,0,167.763,934,7,2239,6939
2017-Feb-06 17:56:36.446,21.225,61,1223,752427008,7807893504,28989743104,0,1,0,0,0,0,0,98.064,442,9,535,27
2017-Feb-06 17:56:47.838,16.706,61,1223,752840704,7809990656,28904796160,0,1,0,0,0,0,0,166.530,316,6,5961,249
2017-Feb-06 17:56:59.231,18.760,61,1223,754999296,7809990656,28887412736,0,1,0,0,0,0,0,80.263,434,7,1932,20
2017-Feb-06 17:57:10.624,13.282,61,1223,755957760,7809990656,28822585344,0,1,0,0,0,0,0,83.138,353,6,964,45
2017-Feb-06 17:57:22.016,10.681,61,1223,756957184,7809990656,28807364608,0,1,0,0,0,0,0,65.885,334,9,368,19
2017-Feb-06 17:57:33.409,13.009,59,1223,762507264,7826571264,28818890752,0,1,0,0,0,0,0,73.279,326,6,359,9
2017-Feb-06 17:57:44.801,12.735,59,1223,763318272,7826571264,28790218752,0,1,0,0,0,0,0,77.387,386,6,745,10
2017-Feb-06 17:57:56.194,12.187,61,1214,764035072,7830765568,28763992064,0,1,0,0,0,0,0,78.483,340,6,647,11
2017-Feb-06 17:58:07.586,18.349,61,1214,768430080,7830765568,28685963264,0,1,0,0,0,0,0,107.239,334,7,3401,1599
2017-Feb-06 17:58:18.979,13.967,61,1214,769093632,7830765568,28658294784,0,1,0,0,0,0,0,81.906,343,9,453,23
2017-Feb-06 17:58:30.371,10.544,61,1214,769683456,7830765568,28480184320,0,1,0,0,0,0,0,134.625,277,6,802,53
2017-Feb-06 17:58:41.761,11.642,61,1224,770265088,7831879680,28579868672,0,1,0,0,0,0,0,183.451,292,7,525,28
2017-Feb-06 17:58:52.261,10.698,61,1224,770981888,7833976832,28563697664,0,1,0,0,0,0,0,87.096,231,6,636,150
2017-Feb-06 17:59:02.760,14.858,61,1229,771829760,7833976832,28530458624,0,1,0,0,0,0,0,182.037,252,7,2726,518
2017-Feb-06 17:59:13.260,14.561,59,1227,773988352,7829782528,28521766912,0,1,0,0,0,0,0,41.186,313,6,373,6
2017-Feb-06 17:59:23.759,15.749,59,1227,774963200,7833976832,28495585280,0,1,0,0,0,0,0,45.197,282,9,387,18
2017-Feb-06 17:59:34.259,14.412,59,1227,773292032,7833976832,28469047296,0,1,0,0,0,0,0,54.855,294,6,3164,957
2017-Feb-06 17:59:44.759,13.966,59,1227,774619136,7833976832,28449443840,0,1,0,0,0,0,0,46.683,267,6,375,10
2017-Feb-06 17:59:55.258,13.669,59,1227,781471744,7850557440,28415684608,0,1,0,0,0,0,0,50.992,265,6,1195,7
2017-Feb-06 18:00:05.758,16.641,59,1227,782299136,7850557440,28402311168,0,1,0,0,0,0,0,44.009,295,7,312,7
2017-Feb-06 18:00:16.258,18.721,59,1227,783388672,7858946048,28380102656,0,1,0,0,0,0,0,45.494,458,6,479,6
2017-Feb-06 18:00:26.757,27.487,59,1227,785281024,7858946048,28326912000,0,1,0,0,0,0,0,55.152,675,6,705,6
2017-Feb-06 18:00:37.273,26.554,59,1227,787640320,7858946048,28275240960,0,1,0,0,0,0,0,54.057,607,6,666,17
2017-Feb-06 18:00:47.773,20.652,59,1227,802738176,7875526656,28232810496,0,1,0,0,0,0,0,54.558,464,6,519,8
2017-Feb-06 18:00:58.289,26.999,59,1227,804175872,7875526656,28177289216,0,1,0,0,0,0,0,56.282,657,6,1181,25
2017-Feb-06 18:01:08.805,28.186,59,1227,805834752,7875526656,28120301568,0,1,0,0,0,0,0,56.134,691,7,743,7
2017-Feb-06 18:01:19.305,20.801,59,1227,807325696,7892107264,28067958784,0,1,0,0,0,0,0,56.786,610,6,658,19
2017-Feb-06 18:01:29.804,15.452,59,1227,808062976,7892107264,28043694080,0,1,0,0,0,0,0,45.940,276,9,320,12
2017-Feb-06 18:01:40.320,9.197,59,1227,808726528,7892107264,28020539392,0,1,0,0,0,0,0,34.327,266,6,320,25
2017-Feb-06 18:01:50.820,12.183,59,1227,809611264,7892107264,27998076928,0,1,0,0,0,0,0,47.426,263,3,299,6
2017-Feb-06 18:02:01.320,7.280,59,1227,810213376,7892107264,27985596416,0,1,0,0,0,0,0,39.551,96,9,129,408
2017-Feb-06 18:02:11.836,13.945,59,1227,810860544,7892107264,27975069696,0,1,0,0,0,0,0,39.816,237,6,253,6
2017-Feb-06 18:02:22.335,11.589,59,1227,811732992,7892107264,27956715520,0,1,0,0,0,0,0,37.917,238,6,263,6
2017-Feb-06 18:02:32.851,12.758,59,1227,812802048,7892107264,27936251904,0,1,0,0,0,0,0,40.558,224,6,250,7
2017-Feb-06 18:02:43.351,15.303,59,1227,813592576,7892107264,27913072640,0,1,0,0,0,0,0,46.386,262,6,426,42
2017-Feb-06 18:02:53.867,16.021,59,1231,843968512,7909801984,27855695872,0,1,0,0,0,0,0,56.727,212,6,492,65
2017-Feb-06 18:03:04.367,12.778,59,1231,844152832,7909801984,27839811584,0,1,0,0,0,0,0,38.808,257,6,274,6
2017-Feb-06 18:03:14.883,14.390,59,1231,844259328,7909801984,27818029056,0,1,0,0,0,0,0,43.525,264,7,295,9
2017-Feb-06 18:03:25.382,10.995,59,1231,844427264,7909801984,27828314112,0,1,0,0,0,0,0,45.643,263,9,323,16
2017-Feb-06 18:03:35.882,11.143,59,1231,844500992,7909801984,27854000128,0,1,0,0,0,0,0,47.277,236,6,305,216
2017-Feb-06 18:03:46.382,13.075,59,1231,844574720,7909801984,27837886464,0,1,0,0,0,0,0,41.037,266,3,334,15
2017-Feb-06 18:03:56.870,11.899,59,1231,844652544,7909801984,27801149440,0,1,0,0,0,0,0,65.499,254,9,408,27
2017-Feb-06 18:04:07.049,14.713,59,1230,844738560,7909801984,27785777152,0,1,0,0,0,0,0,32.493,311,6,378,11
2017-Feb-06 18:04:17.229,9.195,59,1231,844812288,7909801984,27750064128,0,1,0,0,0,0,0,67.895,232,6,2219,688
2017-Feb-06 18:04:27.408,9.502,59,1231,844886016,7909801984,27742248960,0,1,0,0,0,0,0,24.677,242,6,294,9
2017-Feb-06 18:04:37.603,8.110,59,1231,844886016,7909801984,27729620992,0,1,0,0,0,0,0,22.355,242,6,295,12
2017-Feb-06 18:04:47.782,6.590,59,1231,844922880,7909801984,27711229952,0,1,0,0,0,0,0,27.129,157,6,342,68
2017-Feb-06 18:04:57.961,13.486,59,1231,845135872,7911899136,27683729408,0,1,0,0,0,0,0,29.581,324,6,373,6
2017-Feb-06 18:05:08.156,17.597,59,1231,845246464,7911899136,27657789440,0,1,0,0,0,0,0,30.617,359,6,428,7
2017-Feb-06 18:05:18.351,16.679,59,1231,845393920,7911899136,27622322176,0,1,0,0,0,0,0,30.923,393,6,492,6
2017-Feb-06 18:05:28.530,16.092,59,1231,848064512,7928479744,27600281600,0,1,0,0,0,0,0,29.888,328,6,419,6
2017-Feb-06 18:05:38.709,12.567,59,1231,848138240,7928479744,27580968960,0,1,0,0,0,0,0,25.444,226,6,260,6
2017-Feb-06 18:05:48.889,10.421,59,1231,848211968,7928479744,27563646976,0,1,0,0,0,0,0,25.597,243,6,302,17
2017-Feb-06 18:05:59.068,6.743,59,1231,848248832,7928479744,27544932352,0,1,0,0,0,0,0,21.612,197,6,226,6
2017-Feb-06 18:06:09.247,15.939,59,1231,848580608,7928479744,27516174336,0,1,0,0,0,0,0,32.187,336,7,879,9
2017-Feb-06 18:06:19.426,15.172,59,1231,852742144,7928479744,27490193408,0,1,0,0,0,0,0,28.968,274,6,311,6
2017-Feb-06 18:06:29.605,15.785,59,1231,854233088,7932674048,27464167424,0,1,0,0,0,0,0,30.194,282,6,330,6
2017-Feb-06 18:06:39.800,16.526,59,1231,855371776,7932674048,27439476736,0,1,0,0,0,0,0,29.546,263,6,294,6
2017-Feb-06 18:06:49.995,11.629,59,1231,856477696,7932674048,27421265920,0,1,0,0,0,0,0,24.650,253,6,312,16
2017-Feb-06 18:07:00.174,10.575,59,1231,857530368,7941062656,27397984256,0,1,0,0,0,0,0,27.589,234,6,290,7
2017-Feb-06 18:07:10.353,8.582,59,1231,857935872,7941062656,27387969536,0,1,0,0,0,0,0,22.685,98,7,136,7
2017-Feb-06 18:07:20.533,3.678,59,1231,858304512,7941062656,27381968896,0,1,0,0,0,0,0,15.635,85,6,108,6
2017-Feb-06 18:07:30.712,13.640,59,1231,859299840,7941062656,27361140736,0,1,0,0,0,0,0,26.670,243,6,298,6
2017-Feb-06 18:07:40.891,9.349,59,1231,860147712,7941062656,27222376448,0,1,0,0,0,0,0,93.182,220,6,760,54
2017-Feb-06 18:07:51.070,13.027,59,1231,862842880,7941062656,27225522176,0,1,0,0,0,0,0,37.551,241,6,337,30
2017-Feb-06 18:08:01.249,11.954,59,1231,863727616,7941062656,27162968064,0,1,0,0,0,0,0,80.156,249,6,1543,701
2017-Feb-06 18:08:11.428,13.640,59,1231,864796672,7941062656,27138650112,0,1,0,0,0,0,0,66.056,264,7,762,73
2017-Feb-06 18:08:21.607,13.946,59,1231,865865728,7941062656,27120295936,0,1,0,0,0,0,0,28.968,273,6,295,12
2017-Feb-06 18:08:31.787,13.027,59,1231,866824192,7941062656,27100962816,0,1,0,0,0,0,0,28.662,237,6,271,30
2017-Feb-06 18:08:41.982,9.487,59,1231,867577856,7957643264,27072106496,0,1,0,0,0,0,0,31.230,203,6,285,27
2017-Feb-06 18:08:52.161,9.808,59,1231,868425728,7957643264,27066048512,0,1,0,0,0,0,0,30.501,206,6,284,18
2017-Feb-06 18:09:02.335,9.813,59,1231,869347328,7957643264,27082690560,0,1,0,0,0,0,0,84.450,230,6,905,396
2017-Feb-06 18:09:12.399,18.291,59,1231,870391808,7957643264,27092246528,0,1,0,0,0,0,0,37.284,221,7,275,17
2017-Feb-06 18:09:22.463,15.656,59,1231,871497728,7957643264,27069571072,0,1,0,0,0,0,0,42.555,281,6,377,26
